customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1803-URLLW-0,Male,0,No,No,5,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),72.42,368.52,Yes
1773-SFCNZ-1,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.61,387.68,Yes
7621-TSUND-2,Male,0,Yes,No,29,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,95.6,2746.79,No
8556-LNJEY-3,Female,1,No,Yes,26,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,61.07,1619.83,No
8033-QKVOL-4,Male,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),92.28,5603.64,Yes
5053-FCOXB-5,Male,1,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,84.73,1873.62,No
8723-VHQET-6,Female,0,Yes,Yes,42,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),76.99,3253.33,No
7304-JBZLX-7,Male,0,No,No,11,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),81.41,927.21,No
7100-UTFJM-8,Male,0,Yes,No,35,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Mailed check,61.45,2141.87,No
5479-BOETR-9,Female,0,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,87.69,257.99,Yes
9301-TJZKI-10,Female,0,Yes,Yes,59,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,71.65,4238.1,No
9148-JBMUE-11,Female,0,Yes,No,38,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),83.62,3180.87,No
5166-DRMIF-12,Female,0,No,No,25,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),59.53,1496.99,No
6079-RYLEV-13,Female,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.88,385.4,No
6667-SCITV-14,Female,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,86.43,3291.45,Yes
4916-UVKXH-15,Male,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.41,543.3,No
3155-RQDVF-16,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),80.92,1504.75,Yes
8243-AUUUR-17,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),26.13,702.84,No
5243-SHUOL-18,Female,0,No,No,43,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),66.65,2869.78,No
5549-OADGC-19,Male,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),29.39,1015.93,No
4956-RRMWO-20,Male,1,Yes,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),72.24,4867.89,No
1712-TOQOO-21,Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,81.03,2634.74,No
1815-OUHPA-22,Male,1,No,No,72,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),61.37,4417.14,No
4127-LZFHK-23,Male,0,Yes,No,28,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.78,632.61,No
9932-WAGVB-24,Female,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,89.91,143.09,No
8700-HXHLR-25,Female,0,No,No,50,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),93.1,4658.66,No
2136-ONUZR-26,Male,0,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,83.88,5623.19,No
4682-KKVIE-27,Female,0,Yes,Yes,36,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),73.3,2631.86,Yes
4008-ACCUS-28,Female,1,No,No,32,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,53.37,1726.71,Yes
7270-MSEXN-29,Male,0,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),25.44,547.74,No
9441-DMSML-30,Female,0,No,No,70,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),65.73,4606.02,No
2495-JGHRQ-31,Female,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,76.03,699.18,No
6464-JYCID-32,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.04,5240.54,No
